[2017-12-28 05:51:31,734: INFO/Beat] beat: Starting...
[2017-12-28 05:51:32,325: INFO/MainProcess] Connected to redis://localhost:6379//
[2017-12-28 05:51:32,345: INFO/MainProcess] mingle: searching for neighbors
[2017-12-28 05:51:33,386: INFO/MainProcess] mingle: all alone
[2017-12-28 05:51:33,416: WARNING/MainProcess] /Users/GARB42/Envs/daemoenv/lib/python2.7/site-packages/celery/fixups/django.py:202: UserWarning: Using settings.DEBUG leads to a memory leak, never use this setting in production environments!
  warnings.warn('Using settings.DEBUG leads to a memory leak, never '
[2017-12-28 05:51:33,416: INFO/MainProcess] celery@Bir-Mac.local ready.
[2017-12-28 05:51:33,655: INFO/Beat] Scheduler: Sending due task expire-tasks (crowdsourcing.tasks.expire_tasks)
[2017-12-28 05:51:33,675: INFO/MainProcess] Received task: crowdsourcing.tasks.expire_tasks[3e925949-064e-45bc-a000-7043edbb271d]  
[2017-12-28 05:51:33,792: INFO/MainProcess] Received task: crowdsourcing.tasks.refund_task[4224f077-b0d2-4d2d-aa97-2b26a2dd8638]  
[2017-12-28 05:51:33,796: INFO/ForkPoolWorker-3] Task crowdsourcing.tasks.refund_task[4224f077-b0d2-4d2d-aa97-2b26a2dd8638] succeeded in 0.00129356999241s: 'OBSOLETE METHOD'
[2017-12-28 05:51:33,806: INFO/MainProcess] Received task: crowdsourcing.tasks.update_worker_cache[7b3635fc-c9f5-49f4-82b6-525e23b16297]  
[2017-12-28 05:51:33,810: INFO/ForkPoolWorker-5] Task crowdsourcing.tasks.update_worker_cache[7b3635fc-c9f5-49f4-82b6-525e23b16297] succeeded in 0.00160624399723s: 'SUCCESS'
[2017-12-28 05:51:33,823: INFO/MainProcess] Received task: crowdsourcing.tasks.refund_task[27037dd7-65f4-4483-867c-d8763e9a8705]  
[2017-12-28 05:51:33,824: INFO/ForkPoolWorker-5] Task crowdsourcing.tasks.refund_task[27037dd7-65f4-4483-867c-d8763e9a8705] succeeded in 0.000312618998578s: 'OBSOLETE METHOD'
[2017-12-28 05:51:33,836: INFO/MainProcess] Received task: crowdsourcing.tasks.update_worker_cache[f30da5e0-95a4-469d-88a1-a29ed2eab3a2]  
[2017-12-28 05:51:33,836: INFO/ForkPoolWorker-4] Task crowdsourcing.tasks.expire_tasks[3e925949-064e-45bc-a000-7043edbb271d] succeeded in 0.157598733989s: 'SUCCESS'
[2017-12-28 05:51:33,842: INFO/ForkPoolWorker-2] Task crowdsourcing.tasks.update_worker_cache[f30da5e0-95a4-469d-88a1-a29ed2eab3a2] succeeded in 0.00234371999977s: 'SUCCESS'
[2017-12-28 05:52:33,640: INFO/Beat] Scheduler: Sending due task expire-tasks (crowdsourcing.tasks.expire_tasks)
[2017-12-28 05:52:33,657: INFO/MainProcess] Received task: crowdsourcing.tasks.expire_tasks[c96df4a4-972a-4cb1-827e-cd76584521f3]  
[2017-12-28 05:52:33,755: INFO/MainProcess] Received task: crowdsourcing.tasks.refund_task[d4309500-9543-4735-8fa9-7ed4b32d8e99]  
[2017-12-28 05:52:33,764: INFO/ForkPoolWorker-4] Task crowdsourcing.tasks.refund_task[d4309500-9543-4735-8fa9-7ed4b32d8e99] succeeded in 0.00182465699618s: 'OBSOLETE METHOD'
[2017-12-28 05:52:33,773: INFO/MainProcess] Received task: crowdsourcing.tasks.update_worker_cache[f1a83351-a617-4647-bf9f-1535bb890011]  
[2017-12-28 05:52:33,787: INFO/ForkPoolWorker-2] Task crowdsourcing.tasks.update_worker_cache[f1a83351-a617-4647-bf9f-1535bb890011] succeeded in 0.00455725900247s: 'SUCCESS'
[2017-12-28 05:52:33,793: INFO/MainProcess] Received task: crowdsourcing.tasks.refund_task[fc809de7-595d-4b1d-9f39-c60a405545d5]  
[2017-12-28 05:52:33,801: INFO/ForkPoolWorker-5] Task crowdsourcing.tasks.refund_task[fc809de7-595d-4b1d-9f39-c60a405545d5] succeeded in 0.00393038500624s: 'OBSOLETE METHOD'
[2017-12-28 05:52:33,816: INFO/MainProcess] Received task: crowdsourcing.tasks.update_worker_cache[4d87b25e-c9ef-4ff4-b03a-228a1cc2c16d]  
[2017-12-28 05:52:33,816: INFO/ForkPoolWorker-3] Task crowdsourcing.tasks.expire_tasks[c96df4a4-972a-4cb1-827e-cd76584521f3] succeeded in 0.150828262005s: 'SUCCESS'
[2017-12-28 05:52:33,818: INFO/ForkPoolWorker-4] Task crowdsourcing.tasks.update_worker_cache[4d87b25e-c9ef-4ff4-b03a-228a1cc2c16d] succeeded in 0.000763491989346s: 'SUCCESS'
[2017-12-28 05:53:33,638: INFO/Beat] Scheduler: Sending due task expire-tasks (crowdsourcing.tasks.expire_tasks)
[2017-12-28 05:53:33,644: INFO/MainProcess] Received task: crowdsourcing.tasks.expire_tasks[d15732c8-a199-4b05-988c-abb532a91ec4]  
[2017-12-28 05:53:33,704: INFO/MainProcess] Received task: crowdsourcing.tasks.refund_task[ec74959e-dc83-4195-bfdd-87c655db3d90]  
[2017-12-28 05:53:33,707: INFO/ForkPoolWorker-4] Task crowdsourcing.tasks.refund_task[ec74959e-dc83-4195-bfdd-87c655db3d90] succeeded in 0.000792047008872s: 'OBSOLETE METHOD'
[2017-12-28 05:53:33,721: INFO/MainProcess] Received task: crowdsourcing.tasks.update_worker_cache[40430819-102c-4b32-9a36-2999490c254f]  
[2017-12-28 05:53:33,723: INFO/ForkPoolWorker-2] Task crowdsourcing.tasks.update_worker_cache[40430819-102c-4b32-9a36-2999490c254f] succeeded in 0.000338187004672s: 'SUCCESS'
[2017-12-28 05:53:33,740: INFO/MainProcess] Received task: crowdsourcing.tasks.refund_task[737e910e-81dd-477e-9378-01146cf8e184]  
[2017-12-28 05:53:33,748: INFO/ForkPoolWorker-5] Task crowdsourcing.tasks.refund_task[737e910e-81dd-477e-9378-01146cf8e184] succeeded in 0.00276946900703s: 'OBSOLETE METHOD'
[2017-12-28 05:53:33,755: INFO/MainProcess] Received task: crowdsourcing.tasks.update_worker_cache[dbffd2dc-ec34-4228-b115-db8f4e6204e9]  
[2017-12-28 05:53:33,754: INFO/ForkPoolWorker-3] Task crowdsourcing.tasks.expire_tasks[d15732c8-a199-4b05-988c-abb532a91ec4] succeeded in 0.107707853997s: 'SUCCESS'
[2017-12-28 05:53:33,757: INFO/ForkPoolWorker-4] Task crowdsourcing.tasks.update_worker_cache[dbffd2dc-ec34-4228-b115-db8f4e6204e9] succeeded in 0.000348906993167s: 'SUCCESS'
[2017-12-28 05:54:33,640: INFO/Beat] Scheduler: Sending due task expire-tasks (crowdsourcing.tasks.expire_tasks)
[2017-12-28 05:54:33,658: INFO/Beat] Scheduler: Sending due task auto-approve-tasks (crowdsourcing.tasks.auto_approve_tasks)
[2017-12-28 05:54:33,659: INFO/MainProcess] Received task: crowdsourcing.tasks.expire_tasks[2caf4c17-5657-4b44-a3bb-b2dab5e27626]  
[2017-12-28 05:54:33,662: INFO/MainProcess] Received task: crowdsourcing.tasks.auto_approve_tasks[5c5e5ed7-048e-4a6f-b97e-989a5a4f23ff]  
[2017-12-28 05:54:33,862: INFO/ForkPoolWorker-2] Task crowdsourcing.tasks.auto_approve_tasks[5c5e5ed7-048e-4a6f-b97e-989a5a4f23ff] succeeded in 0.188962771004s: 'SUCCESS'
[2017-12-28 05:54:33,891: INFO/MainProcess] Received task: crowdsourcing.tasks.refund_task[72cf6ae4-9d12-463e-bbfb-633456d37027]  
[2017-12-28 05:54:33,902: INFO/ForkPoolWorker-5] Task crowdsourcing.tasks.refund_task[72cf6ae4-9d12-463e-bbfb-633456d37027] succeeded in 0.00715394399595s: 'OBSOLETE METHOD'
[2017-12-28 05:54:33,912: INFO/MainProcess] Received task: crowdsourcing.tasks.update_worker_cache[aa523951-c69b-4c69-807e-a5f3c2e422cb]  
[2017-12-28 05:54:33,927: INFO/ForkPoolWorker-4] Task crowdsourcing.tasks.update_worker_cache[aa523951-c69b-4c69-807e-a5f3c2e422cb] succeeded in 0.00792146399908s: 'SUCCESS'
[2017-12-28 05:54:33,935: INFO/MainProcess] Received task: crowdsourcing.tasks.refund_task[fada59c7-3765-4ebe-9771-691dc6901e62]  
[2017-12-28 05:54:33,936: INFO/ForkPoolWorker-2] Task crowdsourcing.tasks.refund_task[fada59c7-3765-4ebe-9771-691dc6901e62] succeeded in 0.000393319991417s: 'OBSOLETE METHOD'
[2017-12-28 05:54:33,946: INFO/MainProcess] Received task: crowdsourcing.tasks.update_worker_cache[ef916e61-0da1-4089-9adf-17a35feb18dc]  
[2017-12-28 05:54:33,946: INFO/ForkPoolWorker-3] Task crowdsourcing.tasks.expire_tasks[2caf4c17-5657-4b44-a3bb-b2dab5e27626] succeeded in 0.273328930998s: 'SUCCESS'
[2017-12-28 05:54:33,949: INFO/ForkPoolWorker-5] Task crowdsourcing.tasks.update_worker_cache[ef916e61-0da1-4089-9adf-17a35feb18dc] succeeded in 0.000953580005444s: 'SUCCESS'
[2017-12-28 05:55:33,639: INFO/Beat] Scheduler: Sending due task expire-tasks (crowdsourcing.tasks.expire_tasks)
[2017-12-28 05:55:33,645: INFO/MainProcess] Received task: crowdsourcing.tasks.expire_tasks[10bbd413-9f01-41b5-ade3-06a7e0f27f99]  
[2017-12-28 05:55:33,717: INFO/MainProcess] Received task: crowdsourcing.tasks.refund_task[a3bee722-a547-4aec-bac7-1eea8f25b9bf]  
[2017-12-28 05:55:33,719: INFO/ForkPoolWorker-3] Task crowdsourcing.tasks.refund_task[a3bee722-a547-4aec-bac7-1eea8f25b9bf] succeeded in 0.000259371998254s: 'OBSOLETE METHOD'
[2017-12-28 05:55:33,730: INFO/MainProcess] Received task: crowdsourcing.tasks.update_worker_cache[bb0570ea-02ab-4ff9-ba29-fa59a109be1c]  
[2017-12-28 05:55:33,732: INFO/ForkPoolWorker-5] Task crowdsourcing.tasks.update_worker_cache[bb0570ea-02ab-4ff9-ba29-fa59a109be1c] succeeded in 0.0002346340043s: 'SUCCESS'
[2017-12-28 05:55:33,746: INFO/MainProcess] Received task: crowdsourcing.tasks.refund_task[f8ccd614-f877-4328-833b-9b86dba93253]  
